epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8416,3.01842,4.13253,4.22147,0.00205,0.57271,0.00986,0.00371,2.63093,3.38055,4.08657,0.000464425,0.000464425,0.000464425
2,28.7963,3.06741,4.0423,4.02992,0.00191,0.59312,0.01497,0.0037,2.70272,3.83238,3.69291,0.000922131,0.000922131,0.000922131
3,41.6949,2.98922,3.87803,3.78437,0.67914,0.14184,0.01728,0.00567,2.5983,32.6139,4.0397,0.00136097,0.00136097,0.00136097
4,54.4368,2.88914,3.7837,3.55831,0.70135,0.07801,0.04307,0.01084,2.55634,5.20633,3.34868,0.00134412,0.00134412,0.00134412
5,66.7075,2.68094,3.68668,3.39317,0.68925,0.02128,0.01753,0.00434,2.64193,4.50694,3.38639,0.00131582,0.00131582,0.00131582
6,78.2169,2.68038,3.62142,3.3371,0.00243,0.75946,0.01049,0.00318,2.55467,3.43531,3.68527,0.00128753,0.00128753,0.00128753
7,90.7718,2.54068,3.57975,3.13255,0.37692,0.11976,0.01998,0.00612,2.43246,3.35112,3.31009,0.00125923,0.00125923,0.00125923
8,103.577,2.4641,3.57025,3.20947,0.36172,0.04965,0.03287,0.01184,2.2719,3.94552,3.20731,0.00123094,0.00123094,0.00123094
9,116.803,2.40985,3.4628,3.10497,0.68567,0.15603,0.03214,0.00776,2.22973,5.44802,3.11726,0.00120265,0.00120265,0.00120265
10,129.608,2.40849,3.4103,3.04567,0.72354,0.0922,0.06179,0.0202,2.24909,3.15587,3.03738,0.00117435,0.00117435,0.00117435
11,142.388,2.31468,3.33153,2.96258,0.35468,0.21277,0.03034,0.00917,2.22483,3.05468,2.98629,0.00114606,0.00114606,0.00114606
12,154.96,2.17146,3.24721,2.87666,0.77899,0.11348,0.12895,0.04336,2.03602,2.88979,2.93479,0.00111776,0.00111776,0.00111776
13,166.475,2.14685,3.13622,2.80392,0.37275,0.16283,0.076,0.01975,2.20605,3.4531,3.07136,0.00108947,0.00108947,0.00108947
14,178.314,2.11164,3.13703,2.75757,0.70489,0.14184,0.06125,0.01848,2.19631,4.6623,3.13857,0.00106118,0.00106118,0.00106118
15,191.03,2.0109,3.04606,2.67292,0.78846,0.14894,0.15334,0.06139,1.90034,2.69674,2.69496,0.00103288,0.00103288,0.00103288
16,203.704,2.02083,3.01076,2.65038,0.16785,0.105,0.06944,0.0219,2.17961,2.98007,2.94528,0.00100459,0.00100459,0.00100459
17,216.404,1.94351,2.97487,2.59365,0.45786,0.12766,0.15013,0.06379,1.89352,2.71236,2.69268,0.000976293,0.000976293,0.000976293
18,229.152,1.89621,2.84191,2.53819,0.14607,0.21021,0.13209,0.05079,1.95647,2.77976,2.78429,0.000947999,0.000947999,0.000947999
19,241.42,1.90831,2.87761,2.55134,0.53522,0.26709,0.22613,0.08546,1.78647,2.51908,2.55443,0.000919704,0.000919704,0.000919704
20,252.683,1.85449,2.74955,2.49583,0.23444,0.36568,0.2179,0.11824,1.7289,2.52339,2.56233,0.00089141,0.00089141,0.00089141
21,264.96,1.82083,2.7032,2.45327,0.17444,0.21799,0.1648,0.06211,1.94139,2.72675,2.78276,0.000863116,0.000863116,0.000863116
22,277.623,1.78515,2.66883,2.40162,0.27807,0.40938,0.28913,0.13595,1.76327,2.50802,2.54196,0.000834822,0.000834822,0.000834822
23,290.403,1.69688,2.52813,2.34607,0.16943,0.33708,0.23818,0.14174,1.68978,2.41026,2.49987,0.000806528,0.000806528,0.000806528
24,303.117,1.67074,2.47799,2.31169,0.34504,0.3379,0.29876,0.16059,1.69011,2.30544,2.4784,0.000778233,0.000778233,0.000778233
25,315.777,1.63799,2.41501,2.28958,0.21027,0.35954,0.22869,0.11277,1.78823,2.76527,2.61976,0.000749939,0.000749939,0.000749939
26,328.104,1.64484,2.45157,2.28969,0.27421,0.35466,0.27299,0.15762,1.51775,2.24564,2.2444,0.000721645,0.000721645,0.000721645
27,339.73,1.61421,2.39385,2.21741,0.37038,0.31808,0.29635,0.12544,1.94517,2.37136,2.77923,0.000693351,0.000693351,0.000693351
28,352.264,1.62753,2.35658,2.25934,0.3086,0.50252,0.38905,0.22218,1.49388,2.05339,2.25605,0.000665057,0.000665057,0.000665057
29,365.176,1.59698,2.29207,2.22944,0.3131,0.49537,0.37375,0.20271,1.55539,2.12661,2.2919,0.000636762,0.000636762,0.000636762
30,378.043,1.54202,2.25211,2.15343,0.39992,0.4743,0.43151,0.25938,1.44653,1.91944,2.21759,0.000608468,0.000608468,0.000608468
31,391.013,1.53766,2.20733,2.16876,0.55823,0.41537,0.48446,0.27511,1.49476,1.85043,2.22856,0.000580174,0.000580174,0.000580174
32,403.988,1.52805,2.16193,2.14809,0.46091,0.54613,0.49473,0.28683,1.42231,1.80191,2.20649,0.00055188,0.00055188,0.00055188
33,416.854,1.49384,2.14141,2.12522,0.44262,0.48661,0.46116,0.27458,1.508,1.82855,2.2334,0.000523586,0.000523586,0.000523586
34,428.319,1.47696,2.07064,2.08539,0.43103,0.50634,0.43632,0.27618,1.38696,1.88115,2.11356,0.000495291,0.000495291,0.000495291
35,440.35,1.47585,2.05203,2.09244,0.44107,0.5621,0.51434,0.26765,1.60184,1.82367,2.39112,0.000466997,0.000466997,0.000466997
36,452.84,1.3915,2.11362,2.02746,0.5624,0.44383,0.47733,0.28532,1.4076,1.76937,2.12151,0.000438703,0.000438703,0.000438703
37,465.537,1.40758,1.97883,2.02709,0.46488,0.59417,0.51428,0.33599,1.39695,1.73816,2.15329,0.000410409,0.000410409,0.000410409
38,478.374,1.39066,1.93782,2.03133,0.49898,0.48141,0.49378,0.31082,1.38775,1.71621,2.14784,0.000382115,0.000382115,0.000382115
39,490.971,1.39542,1.92992,2.00298,0.49465,0.53408,0.52362,0.32831,1.40331,1.70979,2.13153,0.00035382,0.00035382,0.00035382
40,503.026,1.42339,1.9682,2.0209,0.49959,0.60883,0.56564,0.36531,1.29446,1.67892,2.06733,0.000325526,0.000325526,0.000325526
41,517.064,1.2944,1.99025,2.05439,0.48543,0.56128,0.53746,0.35198,1.32446,1.64697,2.10758,0.000297232,0.000297232,0.000297232
42,528.442,1.2483,1.84946,2.00355,0.52372,0.59967,0.52878,0.35203,1.2899,1.66888,2.00493,0.000268938,0.000268938,0.000268938
43,540.73,1.20896,1.81595,1.95913,0.54288,0.59455,0.52597,0.35116,1.28211,1.62938,2.01975,0.000240644,0.000240644,0.000240644
44,552.971,1.16733,1.73452,1.89465,0.55492,0.64864,0.56652,0.371,1.27887,1.49847,1.97554,0.000212349,0.000212349,0.000212349
45,565.342,1.16832,1.71959,1.88196,0.53871,0.67952,0.58411,0.39108,1.26366,1.49668,1.99104,0.000184055,0.000184055,0.000184055
46,577.739,1.15264,1.64395,1.8928,0.59135,0.65094,0.6052,0.38986,1.27213,1.51541,2.01711,0.000155761,0.000155761,0.000155761
47,589.145,1.13289,1.69386,1.87218,0.48902,0.67896,0.60058,0.39065,1.28536,1.44482,1.98419,0.000127467,0.000127467,0.000127467
48,600.432,1.14658,1.61684,1.87971,0.57527,0.62841,0.60478,0.39808,1.27112,1.44073,1.96209,9.91726e-05,9.91726e-05,9.91726e-05
49,612.741,1.09086,1.60878,1.80814,0.59869,0.62074,0.60433,0.4024,1.27126,1.44832,1.97468,7.08784e-05,7.08784e-05,7.08784e-05
