epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3592,1.20289,2.76288,1.57633,0.30407,0.10529,0.32129,0.20193,1.19421,2.83756,1.94604,0.000464425,0.000464425,0.000464425
2,28.0336,1.18605,2.26785,1.52994,0.32614,0.46373,0.3293,0.17128,1.29488,2.46566,1.91628,0.000922131,0.000922131,0.000922131
3,41.2198,1.20603,2.14891,1.56667,0.28819,0.48586,0.267,0.13897,1.51843,5.10621,2.91343,0.00136097,0.00136097,0.00136097
4,54.3008,1.30765,2.14913,1.62086,0.27188,0.52595,0.28527,0.12489,1.69814,4.22108,2.45609,0.00134412,0.00134412,0.00134412
5,66.2751,1.27216,2.02067,1.61198,0.41195,0.44492,0.40515,0.21616,1.52356,2.0988,2.14273,0.00131582,0.00131582,0.00131582
6,78.6571,1.20019,1.91756,1.5581,0.66137,0.23565,0.31403,0.14113,1.60207,3.34814,2.14595,0.00128753,0.00128753,0.00128753
7,91.9086,1.1584,1.98651,1.52726,0.47488,0.5538,0.47913,0.24575,1.41594,1.79688,1.93369,0.00125923,0.00125923,0.00125923
8,105.955,1.16281,1.7369,1.50305,0.42102,0.66942,0.57761,0.34569,1.3596,2.16073,2.06348,0.00123094,0.00123094,0.00123094
9,118.98,1.18148,1.66603,1.52872,0.58514,0.56437,0.53284,0.33779,1.42385,1.95923,2.18456,0.00120265,0.00120265,0.00120265
10,131.99,1.19284,1.70206,1.53908,0.42653,0.59548,0.54033,0.32827,1.34966,1.85097,1.84428,0.00117435,0.00117435,0.00117435
11,145.085,1.11011,1.55875,1.47608,0.52783,0.68409,0.64982,0.42501,1.19325,1.52739,1.75565,0.00114606,0.00114606,0.00114606
12,157.928,1.13025,1.55566,1.50147,0.53123,0.56438,0.54942,0.32527,1.39104,1.89351,1.98168,0.00111776,0.00111776,0.00111776
13,170.133,1.11228,1.51359,1.4962,0.56912,0.68075,0.68629,0.45073,1.32396,1.44132,1.85472,0.00108947,0.00108947,0.00108947
14,181.978,1.10625,1.5071,1.46043,0.5738,0.61981,0.59792,0.38201,1.20733,1.7346,1.71547,0.00106118,0.00106118,0.00106118
15,194.631,1.0728,1.47393,1.44036,0.6683,0.64217,0.67337,0.43358,1.24817,1.51635,1.82162,0.00103288,0.00103288,0.00103288
16,207.403,1.07238,1.39946,1.45238,0.70357,0.69349,0.73772,0.46137,1.42471,1.33849,2.20926,0.00100459,0.00100459,0.00100459
17,220.156,1.05608,1.32746,1.42645,0.6805,0.70263,0.72155,0.49561,1.20436,1.22301,1.78908,0.000976293,0.000976293,0.000976293
18,233.027,1.09303,1.30581,1.42863,0.63376,0.67825,0.74788,0.48836,1.28423,1.43095,1.81259,0.000947999,0.000947999,0.000947999
19,245.956,1.06099,1.26947,1.41053,0.60272,0.67162,0.70586,0.47977,1.41142,1.202,2.07854,0.000919704,0.000919704,0.000919704
20,259.11,1.0745,1.28849,1.42135,0.75855,0.73626,0.80472,0.53209,1.38089,1.22181,2.04054,0.00089141,0.00089141,0.00089141
21,271.104,1.03586,1.2444,1.39944,0.78954,0.7314,0.83571,0.54561,1.23539,1.18314,1.67554,0.000863116,0.000863116,0.000863116
22,283.098,1.03351,1.18746,1.4153,0.64496,0.74478,0.72544,0.50848,1.08515,1.13919,1.54613,0.000834822,0.000834822,0.000834822
23,296.111,1.01041,1.15088,1.39158,0.68711,0.72061,0.76495,0.51456,1.12655,1.30664,1.68951,0.000806528,0.000806528,0.000806528
24,309.005,0.99606,1.16423,1.37169,0.64192,0.69734,0.73907,0.5021,1.35403,1.1388,1.95071,0.000778233,0.000778233,0.000778233
25,322.119,0.97804,1.13099,1.36301,0.82146,0.64621,0.77484,0.53322,1.09833,1.25634,1.78025,0.000749939,0.000749939,0.000749939
26,335.579,0.97994,1.07836,1.36085,0.73172,0.80193,0.82508,0.58582,1.13118,1.0486,1.68802,0.000721645,0.000721645,0.000721645
27,348.523,0.9911,1.10724,1.3804,0.72011,0.6896,0.78875,0.56086,1.1965,1.20469,1.80782,0.000693351,0.000693351,0.000693351
28,361.299,0.99183,1.09491,1.35749,0.82483,0.66732,0.80304,0.55364,1.23989,1.07976,1.84123,0.000665057,0.000665057,0.000665057
29,373.717,0.97827,1.0669,1.36352,0.76816,0.6833,0.78816,0.56754,1.2235,1.13773,1.8167,0.000636762,0.000636762,0.000636762
30,385.657,0.9193,1.04063,1.30261,0.72339,0.70277,0.79604,0.55963,1.21526,0.91875,2.01364,0.000608468,0.000608468,0.000608468
31,398.808,0.93526,1.0225,1.31993,0.67926,0.80063,0.81028,0.59293,1.23578,1.05528,1.86125,0.000580174,0.000580174,0.000580174
32,411.741,0.93451,1.01136,1.31518,0.66973,0.78578,0.79957,0.56818,1.19771,1.00572,1.65387,0.00055188,0.00055188,0.00055188
33,424.875,0.91362,0.9436,1.29721,0.64866,0.86031,0.79571,0.54412,1.30748,0.99057,2.02384,0.000523586,0.000523586,0.000523586
34,438.004,0.9025,0.92931,1.28843,0.82207,0.75243,0.84305,0.60705,1.26198,0.90419,1.88402,0.000495291,0.000495291,0.000495291
35,450.871,0.90297,0.89939,1.29337,0.72168,0.80471,0.8374,0.5897,1.20206,1.11892,1.73439,0.000466997,0.000466997,0.000466997
36,463.64,0.87526,1.01231,1.27793,0.74358,0.84049,0.83884,0.60234,1.19031,0.9699,1.77998,0.000438703,0.000438703,0.000438703
37,476.176,0.85675,0.91734,1.28436,0.81705,0.75482,0.86875,0.62978,1.06471,0.87903,1.65339,0.000410409,0.000410409,0.000410409
38,488.213,0.85701,0.83562,1.26375,0.80779,0.79148,0.85531,0.62397,1.09756,0.75772,1.62069,0.000382115,0.000382115,0.000382115
39,500.782,0.88165,0.85902,1.2828,0.74793,0.85811,0.84789,0.61354,1.05709,0.99453,1.52288,0.00035382,0.00035382,0.00035382
40,513.667,0.86291,0.83732,1.26583,0.7428,0.85404,0.84419,0.61361,1.10418,0.80107,1.5812,0.000325526,0.000325526,0.000325526
41,527.945,0.83587,0.93635,1.31995,0.80401,0.75953,0.81871,0.59323,1.09714,0.93408,1.62948,0.000297232,0.000297232,0.000297232
42,540.721,0.73328,0.76094,1.25417,0.78456,0.78498,0.83513,0.61977,1.05793,1.05015,1.64784,0.000268938,0.000268938,0.000268938
43,553.652,0.72457,0.71891,1.24664,0.71731,0.84829,0.845,0.62952,1.07524,1.076,1.68157,0.000240644,0.000240644,0.000240644
44,566.034,0.69447,0.86674,1.21731,0.75582,0.85142,0.86332,0.63617,1.08559,1.07046,1.61605,0.000212349,0.000212349,0.000212349
45,578.556,0.68835,0.66664,1.18575,0.81347,0.78781,0.86284,0.63333,1.15688,0.99961,1.7192,0.000184055,0.000184055,0.000184055
46,589.787,0.71224,0.69652,1.22159,0.74071,0.85746,0.86126,0.63267,1.17354,0.96293,1.81125,0.000155761,0.000155761,0.000155761
47,602.081,0.70315,0.75154,1.2237,0.73233,0.86535,0.8515,0.63961,1.02388,0.91639,1.56351,0.000127467,0.000127467,0.000127467
48,615.067,0.71295,0.63508,1.24119,0.82541,0.76238,0.85299,0.64426,0.96759,0.8539,1.49234,9.91726e-05,9.91726e-05,9.91726e-05
49,628.504,0.64522,0.68608,1.14627,0.81717,0.79098,0.85909,0.6428,1.00535,0.80223,1.512,7.08784e-05,7.08784e-05,7.08784e-05
50,641.274,0.63028,0.61025,1.1578,0.83283,0.76644,0.86612,0.64887,1.00956,0.78203,1.50792,4.25842e-05,4.25842e-05,4.25842e-05
